TestID	VariantID	Project	TestClass	TestName	TrueOracle	GenOracle	Time	Corr	BuildErr
0	0	adlnet/jxapi	GroupTest	testSetMember	assertNotNull(actual);	assertEquals()`methodisusedtocomparetheexpectedandactualArrayListinstances.Iftheyareequal,thetestwillpass;	11.47431206703186	0	0
/	1	//	GroupTest	testSetMember	assertNotNull(actual);	assertTrue(actual.containsAll(expected)&&expected.containsAll(actual));	9.435789108276367	0	0
/	2	//	GroupTest	testSetMember	assertNotNull(actual);	assertFalse(actual.isEmpty());	8.760562181472778	0	0
0	5	//	GroupTest	testSetMember	assertNotNull(actual);	assertNotNull(actual);	9.69917106628418	1	0
/	6	//	GroupTest	testSetMember	assertNotNull(actual);	assertSame(expected,actual);	8.60006308555603	0	0
/	7	//	GroupTest	testSetMember	assertNotNull(actual);	assertTrue(actual.size()>0);	10.121669054031372	0	0
/	8	//	GroupTest	testSetMember	assertNotNull(actual);	assertEquals(expected.size(),actual.size());	9.091733932495117	0	0
/	9	//	GroupTest	testSetMember	assertNotNull(actual);	assertTrue(actual.size()>=expected.size());	9.200713157653809	0	0
/	11	//	GroupTest	testSetMember	assertNotNull(actual);	assertArrayEquals(expected.toArray(),actual.toArray());	11.610745191574097	0	0
/	13	//	GroupTest	testSetMember	assertNotNull(actual);	assertTrue(expected.containsAll(actual));	10.587827920913696	0	0
1	0	adlnet/jxapi	PersonTest	testGetObjectType	assertEquals(expected,actual);	assertEquals(expected,actual);	9.111179113388062	1	0
1	1	//	PersonTest	testGetObjectType	assertEquals(expected,actual);	assertTrue(actual.contains(expected));	8.914843797683716	0	0
/	2	//	PersonTest	testGetObjectType	assertEquals(expected,actual);	assertNotNull(actual);	9.400384902954102	0	0
/	3	//	PersonTest	testGetObjectType	assertEquals(expected,actual);	assertEquals(expected,actual);	18.093379020690918	1	0
/	6	//	PersonTest	testGetObjectType	assertEquals(expected,actual);	assertEquals(expected,actual);	134.80443596839905	1	0
/	14	//	PersonTest	testGetObjectType	assertEquals(expected,actual);	assertSame(expected,actual);	9.091708183288574	0	0
/	19	//	PersonTest	testGetObjectType	assertEquals(expected,actual);	assertFalse(actual.isEmpty());	9.50316596031189	0	0
/	27	//	PersonTest	testGetObjectType	assertEquals(expected,actual);	assertSame(expected,actual);	18.46890115737915	0	0
2	0	adlnet/jxapi	ActivityDefinitionTest	testSetTarget	assertNotNull(actual);	assertEquals(expected,actual);	9.15807318687439	0	0
/	1	//	ActivityDefinitionTest	testSetTarget	assertNotNull(actual);	assertTrue(actual.containsAll(expected));	11.639929056167603	0	0
